Country,Code,Indicator,IndicatorCode,Year,Value
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.22832002227983
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.20182904024746
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.212560939402336
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Czechia,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0110817156530227
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0087321679080675
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.242630553551055
Dominican Republic,DOM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,13.4934874336692
East Asia & Pacific (excluding high income),EAP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.76640735027524
Early-demographic dividend,EAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,5.44978100561978
East Asia & Pacific,EAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.428139642065919
Europe & Central Asia (excluding high income),ECA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.13137571369163
Europe & Central Asia,ECS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.369402308411796
Ecuador,ECU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,6.49932475924484
"Egypt, Arab Rep.",EGY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,12.3249329608906
Euro area,EMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0139321948912026
Spain,ESP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0090556329821456
Ethiopia,ETH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
European Union,EUU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0241088249641477
Fragile and conflict affected situations,FCS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,9.85757384609855
Finland,FIN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Fiji,FJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
France,FRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0110336762208728
"Micronesia, Fed. Sts.",FSM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Gabon,GAB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,18.9110999952208
United Kingdom,GBR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.374382399730636
Ghana,GHA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Guinea,GIN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
"Gambia, The",GMB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Guinea-Bissau,GNB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Equatorial Guinea,GNQ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.312760589620694
Greece,GRC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0361911704290775
Grenada,GRD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Greenland,GRL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Guatemala,GTM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.172703317458526
Guyana,GUY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
High income,HIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.576385558512119
"Hong Kong SAR, China",HKG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Honduras,HND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Heavily indebted poor countries (HIPC),HPC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.751748642116837
Haiti,HTI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Hungary,HUN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.232354689700103
IBRD only,IBD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.86971193893144
IDA & IBRD total,IBT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.90862730540848
IDA total,IDA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.24682658952002
IDA blend,IDB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,5.69540923326884
Indonesia,IDN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,5.21791349788131
IDA only,IDX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.66222200963678
India,IND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.12714472085078
Ireland,IRL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Iceland,ISL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Italy,ITA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0171053685907299
Jamaica,JAM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Jordan,JOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0364090484530855
Japan,JPN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0016067485101453
Kazakhstan,KAZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,5.97340706662435
Kenya,KEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Kyrgyz Republic,KGZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.226229575372853
Kiribati,KIR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
St. Kitts and Nevis,KNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
"Korea, Rep.",KOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Kuwait,KWT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,9.09947103065819
Latin America & Caribbean (excluding high income),LAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.67700923016168
Lao PDR,LAO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Lebanon,LBN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Libya,LBY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,24.4402645483099
St. Lucia,LCA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Latin America & Caribbean,LCN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.29129970603502
Least developed countries: UN classification,LDC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.679111965345229
Low income,LIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0780967643788429
Sri Lanka,LKA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Lower middle income,LMC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.49807566393757
Low & middle income,LMY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.78710434069237
Lesotho,LSO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Late-demographic dividend,LTE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.18974424765783
Luxembourg,LUX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
"Macao SAR, China",MAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Morocco,MAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0040803636614305
Madagascar,MDG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Maldives,MDV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Middle East & North Africa,MEA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,20.2960854836788
Mexico,MEX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.16092939814138
Middle income,MIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.79091014816264
Mali,MLI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Malta,MLT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Myanmar,MMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.211557125705964
Middle East & North Africa (excluding high income),MNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,11.1863676740377
Mongolia,MNG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Mozambique,MOZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Mauritania,MRT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Mauritius,MUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Malawi,MWI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Malaysia,MYS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,5.04091318059252
North America,NAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.556501912032836
Namibia,NAM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
New Caledonia,NCL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Niger,NER,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Nigeria,NGA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,13.8632517632481
Nicaragua,NIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Netherlands,NLD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0535833449378682
Norway,NOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.64212273863094
Nepal,NPL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
New Zealand,NZL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.367819592296611
OECD members,OED,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.311978153116073
Oman,OMN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,33.2848119013248
Other small states,OSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,9.25803292633214
Pakistan,PAK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.672442118444818
Panama,PAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Peru,PER,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.23633595670562
Philippines,PHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0222158838954806
Papua New Guinea,PNG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0202501886040696
Poland,POL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0083334019684197
Pre-demographic dividend,PRE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,4.24445234386123
Puerto Rico,PRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Portugal,PRT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Paraguay,PRY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Pacific island small states,PSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Post-demographic dividend,PST,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.259829542753028
French Polynesia,PYF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Qatar,QAT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,30.2545046023012
Romania,ROU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.14662574307775
Russian Federation,RUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,4.01009010421874
Rwanda,RWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
South Asia,SAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.931691736859428
Saudi Arabia,SAU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,32.4128546092831
Sudan,SDN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Senegal,SEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.000384181401337
Singapore,SGP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Solomon Islands,SLB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Sierra Leone,SLE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
El Salvador,SLV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Sub-Saharan Africa (excluding high income),SSA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.43031555988472
Sub-Saharan Africa,SSF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.42786980126461
Small states,SST,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,7.424442916243
Suriname,SUR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.45055958051369
Slovak Republic,SVK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.024192908805962
Sweden,SWE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.50046710785692e-05
Eswatini,SWZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Seychelles,SYC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Syrian Arab Republic,SYR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,9.34559789700163
Chad,TCD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.76640735027524
Europe & Central Asia (IDA & IBRD countries),TEC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.74457044592551
Togo,TGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Thailand,THA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.179569511366624
Tajikistan,TJK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.379445148544507
Latin America & the Caribbean (IDA & IBRD countries),TLA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.41414249471415
Middle East & North Africa (IDA & IBRD countries),TMN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,11.1863676740377
Tonga,TON,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
South Asia (IDA & IBRD),TSA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.931691736859428
Sub-Saharan Africa (IDA & IBRD countries),TSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.42786980126461
Trinidad and Tobago,TTO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,10.5029482184581
Tunisia,TUN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,4.19374260979271
Turkiye,TUR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.139336006151948
Tuvalu,TUV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Tanzania,TZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Uganda,UGA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Upper middle income,UMC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.5483513894828
Uruguay,URY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
United States,USA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.506085201492786
Uzbekistan,UZB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.19362838373976
St. Vincent and the Grenadines,VCT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
"Venezuela, RB",VEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,17.2665024738321
Vietnam,VNM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,3.17352929619949
Vanuatu,VUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
World,WLD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.936983543779517
Samoa,WSM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
"Yemen, Rep.",YEM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,17.51407957206
South Africa,ZAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0090733369678538
Zambia,ZMB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Zimbabwe,ZWE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Africa Eastern and Southern,AFE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0605506667750751
Africa Western and Central,AFW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,9.0482700383583
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,4.28718044897959
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,20.3299121147302
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,23.0960922853496
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.963251595352748
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.695787345054803
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0299803324042133
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,1.32983336035279
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0146183489839686
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0270130688620862
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,21.5424973602403
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,1.48419370230849
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.761290793014807
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.285356190159026
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,16.6703712952439
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,1.18213125296076
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.204911595885279
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.130172856818241
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,2.81586469248969
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.21066052275585
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,4.66892146987733
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,1.27227480081003
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,22.9340107711211
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,3.01799382608553
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,3.22249476145668
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.288972017683738
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Czechia,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0120587327632696
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0078793689148979
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.260826336048591
Dominican Republic,DOM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,13.8375357947945
East Asia & Pacific (excluding high income),EAP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,2.73529804403605
Early-demographic dividend,EAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,5.30780267317839
East Asia & Pacific,EAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.433466374942448
Europe & Central Asia (excluding high income),ECA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,2.8943181141243
Europe & Central Asia,ECS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.345989820108014
Ecuador,ECU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,7.07642990566207
"Egypt, Arab Rep.",EGY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,11.6383061232415
Euro area,EMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0124965264487913
Eritrea,ERI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0
Spain,ESP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1991,0.0088620978442827
